Date,Open,High,Low,Close,Adj Close,Volume
12-08-2015,331.799988,331.799988,331.799988,331.799988,323.81604,0
13-08-2015,328,338,328,334.700012,326.646271,4693354
14-08-2015,340,365.799988,340,363.75,354.997223,13845397
17-08-2015,364,365,356.600006,358.299988,349.678345,3561590
18-08-2015,361.649994,372.799988,361.649994,363.450012,354.704468,4140901
19-08-2015,360,368.200012,355.049988,365.5,356.705139,2272302
20-08-2015,366.950012,374.799988,358.549988,368.549988,359.681763,5891117
21-08-2015,360.549988,367.149994,356.350006,365.049988,356.265961,4288543
24-08-2015,348.549988,349.700012,325.399994,334.600006,326.548706,6795047
25-08-2015,338,349.299988,325.649994,344.799988,336.503235,5152340
26-08-2015,344,355.25,336.25,347.850006,339.479858,4493391
27-08-2015,356.799988,362.850006,347.950012,356.549988,347.970459,14512261
28-08-2015,360.5,369.450012,357,362.649994,353.923676,5905591
31-08-2015,365,372.399994,345.200012,355.450012,346.897003,30058587
01-09-2015,344.950012,354.75,339,342.25,334.014557,3654461
02-09-2015,344,347.450012,332.950012,334.549988,326.499847,4886043
03-09-2015,337.5,344.75,336.100006,339.399994,331.233124,2448672
04-09-2015,338,342.649994,330,339.350006,331.184357,2104869
07-09-2015,340.899994,345.5,321.299988,322.649994,314.886169,2580631
08-09-2015,323.649994,327.350006,311.700012,317.549988,309.908936,4788058
09-09-2015,323.5,327.600006,320.149994,324.049988,316.252472,2070584
10-09-2015,319.100006,328,314.799988,326.200012,318.3508,2432225
11-09-2015,329,334,320.5,322.950012,315.178986,2528750
14-09-2015,324.399994,331.200012,323,329.950012,322.010559,2471856
15-09-2015,330.399994,334.899994,326.899994,332,324.011261,2164523
16-09-2015,337.649994,337.649994,331.100006,334.200012,326.158264,1854497
18-09-2015,340,351.200012,335,339.700012,331.52594,11182333
21-09-2015,335.799988,337.299988,331.5,332.899994,324.889557,2001172
22-09-2015,335.5,335.549988,317.100006,319.100006,311.421631,2640588
23-09-2015,312.75,316.600006,309.25,310.850006,303.370148,3910066
24-09-2015,313,313.299988,300.350006,301.850006,294.5867,10386968
