Date,Open,High,Low,Close,Adj Close,Volume
13-08-2019,1525.099976,1534,1505.25,1511.400024,1511.400024,2765975
14-08-2019,1515,1515.400024,1479.449951,1491.800049,1491.800049,2354908
16-08-2019,1489,1506.5,1477.5,1498.949951,1498.949951,2169754
19-08-2019,1505,1519.5,1490.550049,1496.349976,1496.349976,1547598
20-08-2019,1490.550049,1511.25,1482.650024,1505.099976,1505.099976,1724609
21-08-2019,1504,1517.800049,1496,1505.75,1505.75,1484415
22-08-2019,1503.949951,1510,1472.400024,1478.25,1478.25,1874751
23-08-2019,1479.900024,1487,1446.099976,1470.199951,1470.199951,3615793
26-08-2019,1500,1519.5,1453.099976,1512.800049,1512.800049,2187678
27-08-2019,1514,1522.75,1494.449951,1501.550049,1501.550049,2740804
28-08-2019,1499.199951,1501,1473.349976,1483.650024,1483.650024,2291006
29-08-2019,1479.5,1479.5,1446.75,1450.849976,1450.849976,3931367
30-08-2019,1448.099976,1459.599976,1423.099976,1431.449951,1431.449951,4717533
03-09-2019,1429,1429,1405.050049,1414.300049,1414.300049,2752565
04-09-2019,1414.099976,1438,1398.650024,1426.449951,1426.449951,2419629
05-09-2019,1431.900024,1441.849976,1405.449951,1410.150024,1410.150024,2381023
06-09-2019,1412.5,1444.599976,1412.5,1441.550049,1441.550049,2245219
09-09-2019,1439,1474.550049,1424.050049,1471.300049,1471.300049,3212756
11-09-2019,1471.300049,1478.900024,1459,1475.199951,1475.199951,2604896
12-09-2019,1480,1483.650024,1452,1457.550049,1457.550049,2424954
13-09-2019,1457,1486,1447.199951,1484.25,1484.25,1768490
16-09-2019,1474,1491.849976,1465,1474.949951,1474.949951,1857768
17-09-2019,1471.25,1480.949951,1444,1448.300049,1448.300049,1354586
18-09-2019,1450,1478.949951,1449.900024,1464.75,1464.75,1854425
19-09-2019,1464.800049,1464.800049,1445,1452.599976,1452.599976,1449873
20-09-2019,1455,1598.900024,1450.5,1538.849976,1538.849976,7159489
23-09-2019,1575,1652,1528.800049,1640.599976,1640.599976,6854029
24-09-2019,1633.300049,1641.699951,1590,1618.099976,1618.099976,3770541
25-09-2019,1617,1617,1580.5,1601.599976,1601.599976,3567544
26-09-2019,1607,1683.949951,1605.25,1626.849976,1626.849976,4308028
27-09-2019,1615.849976,1649.400024,1605.949951,1643.5,1643.5,2582561
30-09-2019,1635.099976,1662,1614.300049,1644.449951,1644.449951,3357859
01-10-2019,1638.800049,1657,1623.699951,1648.199951,1648.199951,2925536
03-10-2019,1644.25,1644.25,1607,1615.75,1615.75,2654566
04-10-2019,1630,1633.699951,1557.300049,1563.150024,1563.150024,5487681
07-10-2019,1563,1593.599976,1549.300049,1555.650024,1555.650024,3045534
