Date,Open,High,Low,Close,Adj Close,Volume
12-08-2015,413,418.75,399.649994,401.600006,389.660187,1356894
13-08-2015,401.600006,411,399,400.799988,388.883972,1447259
14-08-2015,398,421.700012,398,419.799988,407.319061,1674969
17-08-2015,415,418.149994,406.200012,409.100006,396.937256,1124164
18-08-2015,409.299988,412.299988,404.100006,406.350006,394.268982,1693445
19-08-2015,407.149994,408.799988,399,405.799988,393.735291,1172957
20-08-2015,405,406.450012,391,394.5,382.771271,1721757
21-08-2015,391,391.149994,377.600006,383.200012,371.807251,3088270
24-08-2015,369.200012,373.850006,346.700012,358.700012,348.035645,3059361
25-08-2015,365,372.049988,355.399994,365.450012,354.584961,4419332
26-08-2015,358.549988,377.649994,358.549988,368.850006,357.88385,3074553
27-08-2015,372.600006,375,362.700012,371,359.969971,4254812
28-08-2015,377.600006,392.899994,375.200012,387.799988,376.270447,3144551
31-08-2015,388,389,379,384.799988,373.35965,2007786
01-09-2015,380,381.549988,366,371.649994,360.600616,2247154
02-09-2015,373.700012,376.850006,360,361,350.267273,3146977
03-09-2015,363.799988,371.950012,360.350006,367.950012,357.010651,1944303
04-09-2015,369.450012,374,359.649994,360.399994,349.685059,3507953
07-09-2015,360.399994,365.649994,358.600006,360.399994,349.685059,1509043
08-09-2015,361.149994,372.399994,357.850006,369.899994,358.902649,1818377
09-09-2015,374.5,386.600006,374.399994,385.049988,373.602234,1855339
10-09-2015,382.799988,395.399994,376.299988,392.100006,380.442627,2049659
11-09-2015,394,399.049988,388.100006,392,380.345612,2001623
14-09-2015,393.100006,396.899994,391.75,395.200012,383.450439,1197568
15-09-2015,396,398,392.5,394,382.286133,1425312
16-09-2015,394.450012,398.100006,394.399994,395.899994,384.129669,1201798
18-09-2015,399.299988,406.799988,395.350006,398.649994,386.797882,2423414
21-09-2015,396.700012,403.200012,395.850006,401.700012,389.757233,900067
22-09-2015,403,403.5,385.549988,389.850006,378.259552,1152813
23-09-2015,383,390.200012,378,387.350006,375.833862,1410076
24-09-2015,387.350006,399.899994,384.049988,394.549988,382.819794,1966984
28-09-2015,397.799988,397.799988,382.75,383.649994,372.243866,763642
29-09-2015,380,393.5,377,391.100006,379.472382,1836485
30-09-2015,394.950012,396.100006,388.299988,392.450012,380.782257,2221047
01-10-2015,392.450012,403,384.450012,400.600006,388.689911,2231208
05-10-2015,404.799988,406.100006,400.200012,402.649994,390.678955,1747745
06-10-2015,405,405,397.5,399,387.137512,1360555
07-10-2015,399.100006,401,392.5,399.399994,387.525604,1217685
08-10-2015,400.200012,403.950012,395.299988,397.549988,385.730591,946190
09-10-2015,403.899994,403.899994,398.25,401.450012,389.514679,1368389
12-10-2015,403.200012,405.899994,398.350006,401.299988,389.36908,569277
13-10-2015,403,404,397.5,401.299988,389.36908,805554
14-10-2015,398.100006,401,380.600006,386.600006,375.106171,10382179
15-10-2015,390.899994,422.75,390.899994,418.75,406.300323,10395979
16-10-2015,417.75,426.350006,414.049988,423.450012,410.860596,3867850
19-10-2015,420.299988,432.399994,416.350006,430.350006,417.555481,2417911
20-10-2015,429.899994,437.049988,427.350006,435.649994,422.697845,2265169
21-10-2015,434.049988,440.649994,432.149994,434.100006,421.193939,2856545
23-10-2015,437,438.350006,429.799988,432.149994,419.30191,2324249
26-10-2015,437.25,437.25,424.25,424.950012,412.31601,2370772
27-10-2015,424,428.299988,421.149994,424.799988,412.170441,2673636
28-10-2015,423.700012,427,417.75,420.799988,408.289368,2603192
29-10-2015,421.200012,422.950012,414.649994,415.700012,403.341034,2916664
30-10-2015,415.700012,421.149994,406,408.649994,396.500549,2159297
02-11-2015,412.950012,415,405,412.899994,400.624237,2642350
03-11-2015,414.950012,416.450012,412.450012,414.899994,402.564789,2732271
04-11-2015,415.200012,417.899994,412.700012,415.149994,402.807343,2599447
05-11-2015,414.950012,414.950012,404.049988,406.049988,393.977875,962740
06-11-2015,408.75,411.25,394.850006,398.450012,386.603851,2654554
09-11-2015,393.200012,393.700012,385.850006,390.899994,379.27832,2779743
10-11-2015,387,398.350006,384.700012,387.200012,375.688354,1872753
13-11-2015,385.899994,388.100006,375.799988,377.350006,366.131165,4395598
16-11-2015,377.350006,382.899994,374.549988,379.100006,367.829102,3496301
17-11-2015,383,384.299988,376.850006,379.899994,368.605347,1814631
18-11-2015,381.299988,383.75,378.049988,379.100006,367.829102,2297968
19-11-2015,380.899994,392.450012,380,391.399994,379.763458,2190565
20-11-2015,392.5,400.450012,390.100006,396.299988,384.517761,2503663
23-11-2015,397.5,409.5,396.149994,407.25,395.142273,2804622
24-11-2015,407.25,409.350006,400,401.600006,389.660187,1310215
26-11-2015,398.5,414.5,398.5,409,396.840179,3022983
27-11-2015,411,414.399994,406.799988,412.399994,400.139099,1500618
30-11-2015,411.350006,416.850006,406.350006,408.149994,396.015472,2516202
01-12-2015,409.899994,416.450012,407.299988,414.450012,402.128143,2216108
02-12-2015,418.649994,418.899994,412.100006,413.700012,401.400452,3036346
03-12-2015,412.450012,415.399994,407.700012,409.600006,397.422363,1521090
04-12-2015,407.149994,407.799988,394,395.649994,383.887115,1739804
07-12-2015,396.549988,402,395,400.100006,388.204803,1946681
08-12-2015,399.25,405.700012,396.799988,400.799988,388.883972,1113890
09-12-2015,400.799988,403.25,393.200012,395.950012,384.178192,1325884
10-12-2015,396.100006,403.850006,387.450012,402.200012,390.242371,1729318
11-12-2015,403,404.5,394.850006,397.75,385.924622,1079115
14-12-2015,399,409,395.100006,405.75,393.686798,922975
15-12-2015,405.799988,412,405.799988,408.350006,396.209503,1310961
16-12-2015,410,411.899994,407.299988,408.649994,396.500549,878128
17-12-2015,409.5,416.799988,404.049988,415.049988,402.710297,1258859
18-12-2015,415,417.100006,412.200012,413.549988,401.254913,2949501
21-12-2015,412.100006,418.399994,412.100006,417.25,404.84491,1750059
22-12-2015,415.5,417.899994,412.600006,415.399994,403.049927,917169
23-12-2015,416.799988,420.5,414.350006,419.049988,406.5914,1648251
24-12-2015,417.5,418.200012,410.100006,410.75,398.538147,2861942
28-12-2015,410.700012,416,409.200012,411.549988,399.314362,777602
29-12-2015,412.049988,417.850006,412.049988,416.350006,403.97168,1810627
30-12-2015,416.950012,429.799988,415.25,428.200012,415.46936,2196200
31-12-2015,429,439.350006,425.75,437.25,424.250275,3974352
01-01-2016,437.200012,437.200012,431.5,432.899994,420.029633,512541
04-01-2016,430,432.350006,420.850006,421.950012,409.405182,1100846
05-01-2016,423.549988,430.399994,420.899994,425.049988,412.412994,2545828
06-01-2016,424,425.899994,417.5,423.149994,410.569489,2048184
07-01-2016,420.049988,421.700012,413.399994,415.399994,403.049927,1897702
08-01-2016,419.950012,419.950012,409.350006,411.700012,399.45993,5154901
11-01-2016,405,414.200012,403,409.600006,397.422363,2618029
12-01-2016,409.350006,411.25,404.25,407.049988,394.948151,1417516
13-01-2016,408.399994,416.700012,405.700012,414.25,401.934113,1746239
14-01-2016,412.299988,422,407,416.049988,403.680603,2107954
15-01-2016,420.399994,422.149994,396,402.399994,390.436401,5656028
18-01-2016,400,401.299988,378.100006,393.899994,382.189117,2733395
19-01-2016,394.649994,399.5,388.75,394.299988,382.577209,1175138
20-01-2016,393.100006,393.100006,374.75,384.299988,372.874512,2017744
